Designator,X-Coordinate,Y-Coordinate,Rotation,Layer
C736,325.000000,-25.000000,0.000000,Top
C737,325.000000,-325.000000,0.000000,Top
C738,325.000000,-330.000000,0.000000,Top
C739,350.000000,-20.000000,0.000000,Top
C740,350.000000,-25.000000,0.000000,Top
C741,350.000000,-325.000000,0.000000,Top
C742,350.000000,-330.000000,0.000000,Top
C815,36.000000,-12.000000,0.000000,Top
C816,36.000000,-20.000000,0.000000,Top
C817,36.000000,-28.000000,0.000000,Top
C818,36.000000,-36.000000,0.000000,Top
C819,36.000000,-44.000000,0.000000,Top
C820,36.000000,-52.000000,0.000000,Top
C821,36.000000,-60.000000,0.000000,Top
C822,36.000000,-68.000000,0.000000,Top
C823,36.000000,-76.000000,0.000000,Top
C824,36.000000,-84.000000,0.000000,Top
C825,36.000000,-92.000000,0.000000,Top
C826,36.000000,-100.000000,0.000000,Top
C827,36.000000,-108.000000,0.000000,Top
C828,36.000000,-116.000000,0.000000,Top
C829,36.000000,-124.000000,0.000000,Top
