Item,Designator,Quantity,Value,Footprint,Manufacturer,MPN,Distributor,DistributorPN,Package,Description,DNP
222,?,1,LightRail:C_Tantalum_3528,C_Tantalum_3528,,,,,C_Tantalum_3528,,No
223,?,1,LightRail:C_Tantalum_3528,C_Tantalum_3528,,,,,C_Tantalum_3528,,No
224,?,1,LightRail:C_Tantalum_3528,C_Tantalum_3528,,,,,C_Tantalum_3528,,No
225,?,1,LightRail:C_Tantalum_3528,C_Tantalum_3528,,,,,C_Tantalum_3528,,No
226,?,1,LightRail:C_Tantalum_3528,C_Tantalum_3528,,,,,C_Tantalum_3528,,No
227,?,1,LightRail:C_Tantalum_3528,C_Tantalum_3528,,,,,C_Tantalum_3528,,No
228,?,1,QFN-48,QFN-48,,,,,QFN-48,,No
229,?,1,QFN-48,QFN-48,,,,,QFN-48,,No
230,?,1,QFN-48,QFN-48,,,,,QFN-48,,No
231,?,1,QFN-48,QFN-48,,,,,QFN-48,,No
232,?,1,QFN-48,QFN-48,,,,,QFN-48,,No
233,?,1,QFN-48,QFN-48,,,,,QFN-48,,No
234,?,1,C_passive,C_passive,,,,,C_passive,,No
235,?,1,C_passive,C_passive,,,,,C_passive,,No
236,?,1,C_passive,C_passive,,,,,C_passive,,No
237,?,1,C_passive,C_passive,,,,,C_passive,,No
238,?,1,C_passive,C_passive,,,,,C_passive,,No
239,?,1,C_passive,C_passive,,,,,C_passive,,No
240,?,1,C_passive,C_passive,,,,,C_passive,,No
241,?,1,C_passive,C_passive,,,,,C_passive,,No
242,?,1,C_passive,C_passive,,,,,C_passive,,No
243,?,1,C_passive,C_passive,,,,,C_passive,,No
244,?,1,C_passive,C_passive,,,,,C_passive,,No
245,?,1,C_passive,C_passive,,,,,C_passive,,No
246,?,1,C_passive,C_passive,,,,,C_passive,,No
247,?,1,C_passive,C_passive,,,,,C_passive,,No
248,?,1,C_passive,C_passive,,,,,C_passive,,No
249,?,1,C_passive,C_passive,,,,,C_passive,,No
250,?,1,C_passive,C_passive,,,,,C_passive,,No
251,?,1,C_passive,C_passive,,,,,C_passive,,No
252,?,1,C_passive,C_passive,,,,,C_passive,,No
253,?,1,C_passive,C_passive,,,,,C_passive,,No
254,?,1,C_passive,C_passive,,,,,C_passive,,No
255,?,1,C_passive,C_passive,,,,,C_passive,,No
256,?,1,C_passive,C_passive,,,,,C_passive,,No
257,?,1,C_passive,C_passive,,,,,C_passive,,No
258,?,1,C_passive,C_passive,,,,,C_passive,,No
259,?,1,C_passive,C_passive,,,,,C_passive,,No
260,?,1,C_passive,C_passive,,,,,C_passive,,No
